hotel_name,yelp_business_id,restaurant_name,rating,price,categories,restaurant_lat,restaurant_lon,distance_m,url
Courtyard New York Manhattan/Midtown East,BRLE5XevGOMsaVPQuKRGTw,Table 866,3.3,,"['coffee', 'breakfast_brunch']",40.7575426,-73.9700204,12.692707279690291,https://www.yelp.com/biz/table-866-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
Courtyard New York Manhattan/Midtown East,cHxbqddyJmRPKLLorvBmcA,Burritoville,0.0,,['cafes'],40.757519,-73.970047,14.731013857904669,https://www.yelp.com/biz/burritoville-new-york-20?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
Courtyard New York Manhattan/Midtown East,YKJUmLS1A8TD1ufwVcxdYQ,Jersey Mike's Subs,3.8,,"['hotdogs', 'delis', 'sandwiches']",40.75736,-73.97019,24.752940992300598,https://www.yelp.com/biz/jersey-mikes-subs-new-york-12?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
Courtyard New York Manhattan/Midtown East,f9b1I3y3E2QaBkAuhXMqWQ,Ume Japanese Restaurant,2.3,$$,['japanese'],40.7576256,-73.970787,29.845538154687947,https://www.yelp.com/biz/ume-japanese-restaurant-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
Courtyard New York Manhattan/Midtown East,YchMTqpM6xksrpqXR0YUrQ,Xeno’s Pizza,4.1,,['pizza'],40.75728,-73.97008,30.702953537267675,https://www.yelp.com/biz/xeno-s-pizza-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
Courtyard New York Manhattan/Midtown East,wbX0m8zJr2mg-x0N8QjHKg,The Atrium Shops & Cafes,3.7,$,"['shoppingcenters', 'cafes']",40.7576563963533,-73.9696109360517,34.615727211030574,https://www.yelp.com/biz/the-atrium-shops-and-cafes-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
Courtyard New York Manhattan/Midtown East,bOIB2O7J2bSt4tky287JNA,Wako Internatl Corporation,0.0,,['restaurants'],40.75743,-73.97042,38.16843917292474,https://www.yelp.com/biz/wako-internatl-corporation-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
Courtyard New York Manhattan/Midtown East,T2Nhyug4f_bl6Nb9XCoqMw,Hyo Tan Nippon Restaurant,0.0,,['salad'],40.75743,-73.97042,38.16843917292474,https://www.yelp.com/biz/hyo-tan-nippon-restaurant-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
Courtyard New York Manhattan/Midtown East,kCpKwCW49k3ImuI5cK6LSw,Gu Japanese Fusion Sushi & Bar,3.9,$$,"['japanese', 'sushi', 'bars']",40.75743,-73.97042,38.16843917292474,https://www.yelp.com/biz/gu-japanese-fusion-sushi-and-bar-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
Courtyard New York Manhattan/Midtown East,QJTLAOMNvhV1_jPfcQ_qPw,Nippon,3.8,$$$,"['sushi', 'japanese', 'desserts']",40.75743,-73.97042,38.16843917292474,https://www.yelp.com/biz/nippon-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg
