hotel_name,score,top_restaurants,borough,neighborhood,brand,city,address,lat,lon
Courtyard New York Manhattan/SoHo,0.792757,"[{""name"": ""Bar Mutsumi"", ""score"": 0.818, ""rating"": 5.0, ""price"": NaN, ""distance_m"": 109.7, ""cuisines"": [""japanese"", ""whiskeybars"", ""wine_bars""], ""lat"": 40.72663, ""lon"": -74.00626, ""url"": ""https://www.yelp.com/biz/bar-mutsumi-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Banaro"", ""score"": 0.803, ""rating"": 5.0, ""price"": NaN, ""distance_m"": 167.3, ""cuisines"": [""fooddeliveryservices"", ""italian""], ""lat"": 40.72626, ""lon"": -74.00496, ""url"": ""https://www.yelp.com/biz/banaro-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Miomio"", ""score"": 0.798, ""rating"": 4.7, ""price"": NaN, ""distance_m"": 108.6, ""cuisines"": [""desserts"", ""japanese"", ""breakfast_brunch""], ""lat"": 40.72669555101995, ""lon"": -74.0064252, ""url"": ""https://www.yelp.com/biz/miomio-new-york-2?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""MakiMaki Sushi"", ""score"": 0.783, ""rating"": 4.4, ""price"": NaN, ""distance_m"": 85.1, ""cuisines"": [""sushi"", ""japanese"", ""catering""], ""lat"": 40.72766470000001, ""lon"": -74.0067845, ""url"": ""https://www.yelp.com/biz/makimaki-sushi-new-york-6?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Port Sa'id"", ""score"": 0.762, ""rating"": 4.1, ""price"": ""$$$"", ""distance_m"": 85.3, ""cuisines"": [""mediterranean"", ""vinyl_records"", ""tapasmallplates""], ""lat"": 40.72767644691845, ""lon"": -74.0067845, ""url"": ""https://www.yelp.com/biz/port-said-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}]",Manhattan,SoHo,Courtyard by Marriott,New York,"181 Varick St, New York, NY 10014",40.7275439,-74.005787
The New York EDITION,0.790116,"[{""name"": ""Rafiqi's"", ""score"": 0.817, ""rating"": 5.0, ""price"": ""$"", ""distance_m"": 114.9, ""cuisines"": [""foodstands""], ""lat"": 40.7405575364828, ""lon"": -73.9862378686666, ""url"": ""https://www.yelp.com/biz/rafiqis-new-york-11?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Il Gusto"", ""score"": 0.814, ""rating"": 5.0, ""price"": NaN, ""distance_m"": 123.9, ""cuisines"": [""fooddeliveryservices"", ""italian"", ""pizza""], ""lat"": 40.740269, ""lon"": -73.987079, ""url"": ""https://www.yelp.com/biz/il-gusto-new-york-3?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Summer Salt"", ""score"": 0.781, ""rating"": 4.4, ""price"": ""$$"", ""distance_m"": 94.4, ""cuisines"": [""tacos"", ""newmexican""], ""lat"": 40.740466, ""lon"": -73.987761, ""url"": ""https://www.yelp.com/biz/summer-salt-new-york-3?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""The Clocktower"", ""score"": 0.777, ""rating"": 4.0, ""price"": ""$$$"", ""distance_m"": 8.5, ""cuisines"": [""british""], ""lat"": 40.74133, ""lon"": -73.98747, ""url"": ""https://www.yelp.com/biz/the-clocktower-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Shake Shack Madison Square Park"", ""score"": 0.761, ""rating"": 4.0, ""price"": ""$$"", ""distance_m"": 62.9, ""cuisines"": [""hotdogs"", ""burgers"", ""icecream""], ""lat"": 40.7409, ""lon"": -73.98796, ""url"": ""https://www.yelp.com/biz/shake-shack-madison-square-park-new-york-3?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}]",Manhattan,Flatiron,EDITION,New York,"5 Madison Ave, New York, NY 10010",40.7413262,-73.9874695
Fairfield Inn & Suites New York Midtown Manhattan/Penn Station,0.785584,"[{""name"": ""Trattoria Bianca"", ""score"": 0.838, ""rating"": 3.3, ""price"": ""$$"", ""distance_m"": 152.5, ""cuisines"": [""italian""], ""lat"": 40.75263, ""lon"": -73.99338, ""url"": ""https://www.yelp.com/biz/trattoria-bianca-new-york-3?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Pokeworks"", ""score"": 0.797, ""rating"": 4.4, ""price"": ""$$"", ""distance_m"": 35.8, ""cuisines"": [""poke"", ""salad"", ""hawaiian""], ""lat"": 40.75258, ""lon"": -73.99551, ""url"": ""https://www.yelp.com/biz/pokeworks-new-york-18?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Bar Primi Penn District"", ""score"": 0.767, ""rating"": 4.1, ""price"": NaN, ""distance_m"": 68.8, ""cuisines"": [""italian"", ""bars"", ""pizza""], ""lat"": 40.7524583, ""lon"": -73.9954517, ""url"": ""https://www.yelp.com/biz/bar-primi-penn-district-new-york-3?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""NAYA"", ""score"": 0.766, ""rating"": 4.2, ""price"": ""$$"", ""distance_m"": 94.9, ""cuisines"": [""mideastern"", ""mediterranean""], ""lat"": 40.75162820264864, ""lon"": -73.99587334448617, ""url"": ""https://www.yelp.com/biz/naya-new-york-60?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Cha Cha Matcha"", ""score"": 0.76, ""rating"": 4.2, ""price"": ""$"", ""distance_m"": 118.7, ""cuisines"": [""cafes"", ""coffee"", ""juicebars""], ""lat"": 40.75121209941116, ""lon"": -73.9953871, ""url"": ""https://www.yelp.com/biz/cha-cha-matcha-new-york-17?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}]",Manhattan,Chelsea/NoMad,Fairfield Inn & Suites by Marriott,New York,"325 W 33rd St, New York, NY 10001",40.7522599,-73.9951162
New York Marriott at the Brooklyn Bridge,0.785118,"[{""name"": ""Teriyaki One"", ""score"": 0.908, ""rating"": 4.3, ""price"": ""$$"", ""distance_m"": 151.9, ""cuisines"": [""japanese""], ""lat"": 40.69207434113311, ""lon"": -73.9875789731741, ""url"": ""https://www.yelp.com/biz/teriyaki-one-brooklyn?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Dave's Hot Chicken"", ""score"": 0.791, ""rating"": 4.4, ""price"": ""$$"", ""distance_m"": 56.5, ""cuisines"": [""halal"", ""chickenshop""], ""lat"": 40.69289117139648, ""lon"": -73.98847946443622, ""url"": ""https://www.yelp.com/biz/daves-hot-chicken-brooklyn-3?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Downtown Natural Market"", ""score"": 0.752, ""rating"": 4.4, ""price"": ""$$"", ""distance_m"": 200.9, ""cuisines"": [""juicebars"", ""vitaminssupplements"", ""vegetarian""], ""lat"": 40.691711085615225, ""lon"": -73.98721775505574, ""url"": ""https://www.yelp.com/biz/downtown-natural-market-brooklyn?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Xi'an Famous Foods"", ""score"": 0.748, ""rating"": 4.3, ""price"": ""$$"", ""distance_m"": 190.2, ""cuisines"": [""chinese"", ""noodles"", ""burgers""], ""lat"": 40.69212, ""lon"": -73.9867, ""url"": ""https://www.yelp.com/biz/xian-famous-foods-brooklyn-10?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Shake Shack Downtown Brooklyn"", ""score"": 0.727, ""rating"": 3.8, ""price"": ""$$"", ""distance_m"": 138.0, ""cuisines"": [""burgers"", ""icecream"", ""hotdogs""], ""lat"": 40.69213, ""lon"": -73.98847, ""url"": ""https://www.yelp.com/biz/shake-shack-downtown-brooklyn-brooklyn?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}]",Brooklyn,Downtown Brooklyn,Marriott Hotels & Resorts,New York,"333 Adams St, Brooklyn, NY 11201",40.693355,-73.988205
TownePlace Suites by Marriott New York Brooklyn,0.778701,"[{""name"": ""Kiku Asian Bistro"", ""score"": 0.833, ""rating"": 3.8, ""price"": ""$$"", ""distance_m"": 311.5, ""cuisines"": [""sushi"", ""japanese"", ""asianfusion""], ""lat"": 40.67751528847935, ""lon"": -73.97959202674274, ""url"": ""https://www.yelp.com/biz/kiku-asian-bistro-brooklyn?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Pizzatown"", ""score"": 0.823, ""rating"": 3.7, ""price"": ""$"", ""distance_m"": 324.1, ""cuisines"": [""pizza"", ""italian"", ""sandwiches""], ""lat"": 40.680043, ""lon"": -73.977872, ""url"": ""https://www.yelp.com/biz/pizzatown-brooklyn-3?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""TongDee Thai"", ""score"": 0.77, ""rating"": 5.0, ""price"": NaN, ""distance_m"": 299.9, ""cuisines"": [""thai""], ""lat"": 40.677421, ""lon"": -73.980045, ""url"": ""https://www.yelp.com/biz/tongdee-thai-brooklyn-2?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Morelos Authentic Mexican Cuisine"", ""score"": 0.736, ""rating"": 4.6, ""price"": ""$"", ""distance_m"": 326.3, ""cuisines"": [""mexican"", ""foodtrucks""], ""lat"": 40.67185, ""lon"": -73.97898, ""url"": ""https://www.yelp.com/biz/morelos-authentic-mexican-cuisine-park-slope?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Medusa The Greek"", ""score"": 0.731, ""rating"": 4.4, ""price"": ""$$"", ""distance_m"": 285.7, ""cuisines"": [""greek"", ""mediterranean""], ""lat"": 40.67857, ""lon"": -73.97885, ""url"": ""https://www.yelp.com/biz/medusa-the-greek-brooklyn?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}]",Brooklyn,Boerum Hill,TownePlace Suites by Marriott,New York,"561 President St, Brooklyn, NY 11215",40.679814,-73.981703
Courtyard New York Queens/Fresh Meadows,0.769244,"[{""name"": ""Tokyo Hibachi Steak House & Sushi"", ""score"": 0.874, ""rating"": 3.6, ""price"": ""$$"", ""distance_m"": 97.5, ""cuisines"": [""japanese"", ""steak""], ""lat"": 40.7397786666437, ""lon"": -73.7898874282837, ""url"": ""https://www.yelp.com/biz/tokyo-hibachi-steak-house-and-sushi-fresh-meadows?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Fuzi Pasta Co"", ""score"": 0.771, ""rating"": 4.4, ""price"": ""$$"", ""distance_m"": 881.8, ""cuisines"": [""pastashops"", ""italian""], ""lat"": 40.732872749986974, ""lon"": -73.7945689, ""url"": ""https://www.yelp.com/biz/fuzi-pasta-co-fresh-meadows?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Brother’s Pizzeria"", ""score"": 0.747, ""rating"": 4.2, ""price"": ""$"", ""distance_m"": 166.9, ""cuisines"": [""pizza""], ""lat"": 40.7398, ""lon"": -73.788972, ""url"": ""https://www.yelp.com/biz/brother-s-pizzeria-fresh-meadows-2?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Bagel Oasis"", ""score"": 0.727, ""rating"": 3.7, ""price"": ""$"", ""distance_m"": 109.1, ""cuisines"": [""bagels"", ""delis""], ""lat"": 40.739435, ""lon"": -73.790506, ""url"": ""https://www.yelp.com/biz/bagel-oasis-fresh-meadows-3?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Halal Boyz"", ""score"": 0.727, ""rating"": 3.7, ""price"": ""$"", ""distance_m"": 109.8, ""cuisines"": [""halal"", ""hotdogs""], ""lat"": 40.7394059408154, ""lon"": -73.7902313, ""url"": ""https://www.yelp.com/biz/halal-boyz-fresh-meadows?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}]",Queens,Fresh Meadows,Courtyard by Marriott,New York,"183-15 Horace Harding Expressway, Fresh Meadows, NY 11365",40.7402814,-73.7908349
Residence Inn New York The Bronx at Metro Center Atrium,0.767293,"[{""name"": ""Kai Sushi Asian Fusion"", ""score"": 0.798, ""rating"": 3.9, ""price"": ""$$"", ""distance_m"": 509.6, ""cuisines"": [""asianfusion"", ""chinese"", ""japanese""], ""lat"": 40.84362, ""lon"": -73.84565, ""url"": ""https://www.yelp.com/biz/kai-sushi-asian-fusion-bronx?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Tana Thai"", ""score"": 0.775, ""rating"": 3.2, ""price"": ""$$"", ""distance_m"": 384.8, ""cuisines"": [""thai""], ""lat"": 40.8514292, ""lon"": -73.84381380091752, ""url"": ""https://www.yelp.com/biz/tana-thai-bronx?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Chicken Vs Lamb"", ""score"": 0.767, ""rating"": 4.3, ""price"": ""$"", ""distance_m"": 116.3, ""cuisines"": [""mideastern"", ""halal"", ""foodstands""], ""lat"": 40.8489762040892, ""lon"": -73.845446217529, ""url"": ""https://www.yelp.com/biz/chicken-vs-lamb-bronx-3?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Patricia's of Morris Park"", ""score"": 0.76, ""rating"": 3.9, ""price"": ""$$$"", ""distance_m"": 725.0, ""cuisines"": [""pizza"", ""italian"", ""bars""], ""lat"": 40.84914003884008, ""lon"": -73.8533007, ""url"": ""https://www.yelp.com/biz/patricias-of-morris-park-bronx?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Bagels and Cream"", ""score"": 0.736, ""rating"": 3.8, ""price"": ""$"", ""distance_m"": 101.9, ""cuisines"": [""bagels"", ""breakfast_brunch"", ""coffee""], ""lat"": 40.84719, ""lon"": -73.84437, ""url"": ""https://www.yelp.com/biz/bagels-and-cream-bronx?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}]",Bronx,Eastchester/Metro Center Atrium,Residence Inn by Marriott,NewYork,"1776 Eastchester Rd, Bronx, NY 10461",40.8480503,-73.8448029
Fairfield Inn & Suites New York Brooklyn,0.742605,"[{""name"": ""Mozzarella NYC"", ""score"": 0.752, ""rating"": 5.0, ""price"": NaN, ""distance_m"": 380.8, ""cuisines"": [""fooddeliveryservices"", ""italian""], ""lat"": 40.68259404416556, ""lon"": -73.97928505806213, ""url"": ""https://www.yelp.com/biz/mozzarella-nyc-brooklyn?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Ossobuco La Cucina Di Milano"", ""score"": 0.752, ""rating"": 5.0, ""price"": NaN, ""distance_m"": 380.8, ""cuisines"": [""fooddeliveryservices"", ""italian"", ""steak""], ""lat"": 40.68259404416556, ""lon"": -73.97928505806213, ""url"": ""https://www.yelp.com/biz/ossobuco-la-cucina-di-milano-brooklyn?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Threes Brewing"", ""score"": 0.75, ""rating"": 4.1, ""price"": ""$$"", ""distance_m"": 128.3, ""cuisines"": [""venues"", ""burgers"", ""beerbar""], ""lat"": 40.6797218322754, ""lon"": -73.9821624755859, ""url"": ""https://www.yelp.com/biz/threes-brewing-brooklyn?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Mirror Tea & Sake House"", ""score"": 0.74, ""rating"": 4.7, ""price"": ""$$"", ""distance_m"": 337.3, ""cuisines"": [""cafes"", ""tea"", ""venues""], ""lat"": 40.678874, ""lon"": -73.986211, ""url"": ""https://www.yelp.com/biz/mirror-tea-and-sake-house-brooklyn-2?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Ghenet"", ""score"": 0.719, ""rating"": 4.0, ""price"": ""$$"", ""distance_m"": 220.0, ""cuisines"": [""ethiopian"", ""african""], ""lat"": 40.67911505901633, ""lon"": -73.98149370339596, ""url"": ""https://www.yelp.com/biz/ghenet-brooklyn-brooklyn?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}]",Brooklyn,Boerum Hill,Fairfield Inn & Suites by Marriott,New York,"181 3rd Ave, Brooklyn, NY 11217",40.680703,-73.98305
SpringHill Suites New York Queens,0.721241,"[{""name"": ""Jhal NYC"", ""score"": 0.746, ""rating"": 5.0, ""price"": ""$"", ""distance_m"": 407.8, ""cuisines"": [""streetvendors"", ""bangladeshi""], ""lat"": 40.75036, ""lon"": -73.94478, ""url"": ""https://www.yelp.com/biz/jhal-nyc-queens-village?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Brockenzo Neapolitan Pizza"", ""score"": 0.739, ""rating"": 4.9, ""price"": ""$$"", ""distance_m"": 407.8, ""cuisines"": [""foodtrucks"", ""pizza""], ""lat"": 40.7503547668457, ""lon"": -73.9447784423828, ""url"": ""https://www.yelp.com/biz/brockenzo-neapolitan-pizza-long-island-4?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Thai Bird"", ""score"": 0.723, ""rating"": 5.0, ""price"": NaN, ""distance_m"": 519.0, ""cuisines"": [""thai"", ""chicken_wings""], ""lat"": 40.7395853, ""lon"": -73.9469816, ""url"": ""https://www.yelp.com/biz/thai-bird-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Omakase OSUKAA LIC"", ""score"": 0.715, ""rating"": 4.7, ""price"": NaN, ""distance_m"": 454.4, ""cuisines"": [""japanese"", ""sushi""], ""lat"": 40.7423837, ""lon"": -73.93608569999999, ""url"": ""https://www.yelp.com/biz/omakase-osukaa-long-island-city-4?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Mando Halal Food"", ""score"": 0.683, ""rating"": 4.7, ""price"": ""$"", ""distance_m"": 621.8, ""cuisines"": [""halal"", ""foodstands""], ""lat"": 40.7446615, ""lon"": -73.9357911, ""url"": ""https://www.yelp.com/biz/mando-halal-food-long-island-city?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}]",Queens,Queens,SpringHill Suites by Marriott,New York,"38-39 9th Street, Long Island City, New York, USA, 11101",40.7407,-73.941
Fairfield Inn & Suites New York Staten Island,0.720996,"[{""name"": ""Paesano's Pizzeria"", ""score"": 0.781, ""rating"": 4.2, ""price"": ""$"", ""distance_m"": 722.5, ""cuisines"": [""pizza"", ""italian"", ""seafood""], ""lat"": 40.612, ""lon"": -74.1326, ""url"": ""https://www.yelp.com/biz/paesanos-pizzeria-staten-island?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""DiLeo's Pizzeria"", ""score"": 0.768, ""rating"": 3.5, ""price"": ""$"", ""distance_m"": 522.0, ""cuisines"": [""pizza"", ""italian""], ""lat"": 40.6106669495569, ""lon"": -74.1461451945122, ""url"": ""https://www.yelp.com/biz/dileos-pizzeria-staten-island?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Jimmy Max"", ""score"": 0.737, ""rating"": 3.7, ""price"": ""$$"", ""distance_m"": 782.5, ""cuisines"": [""pizza"", ""italian"", ""gluten_free""], ""lat"": 40.61595, ""lon"": -74.13873, ""url"": ""https://www.yelp.com/biz/jimmy-max-staten-island?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Beyar's Market"", ""score"": 0.682, ""rating"": 4.0, ""price"": ""$$"", ""distance_m"": 377.4, ""cuisines"": [""delis""], ""lat"": 40.6120431, ""lon"": -74.1381128, ""url"": ""https://www.yelp.com/biz/beyars-market-staten-island?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Fava Restaurant & Bar"", ""score"": 0.637, ""rating"": 4.7, ""price"": NaN, ""distance_m"": 917.3, ""cuisines"": [""mediterranean"", ""spanish"", ""italian""], ""lat"": 40.61276970629436, ""lon"": -74.1305926678986, ""url"": ""https://www.yelp.com/biz/fava-restaurant-and-bar-staten-island?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}]",Staten Island,Travis/Chelsea,Fairfield Inn & Suites by Marriott,New York,"290 Wild Avenue, Staten Island, NY 10314",40.609092,-74.14032
Sheraton Brooklyn New York Hotel,0.688361,"[{""name"": ""Raising Cane's Chicken Fingers"", ""score"": 0.688, ""rating"": 3.3, ""price"": ""$$"", ""distance_m"": 149.9, ""cuisines"": [""hotdogs"", ""chickenshop""], ""lat"": 40.69157189450252, ""lon"": -73.98710301031764, ""url"": ""https://www.yelp.com/biz/raising-canes-chicken-fingers-brooklyn-6?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}]",Brooklyn,Downtown Brooklyn,Sheraton (Marriott),New York,"228 Duffield St, Brooklyn, NY 11201",40.692787,-73.986332
